date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:06	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/robots.txt		(from )
12:36:06	73850/73850	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Sep%202024%2007:06:06%20GMT	https://universitiesadmission.in/onlineamity/	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/index.html	(from )
12:36:06	1582/1582	---M--	200	added ('OK')	image/jpg	date:Mon,%2027%20Apr%202020%2014:26:22%20GMT	https://amityonline.com/DesktopLib/images/favicon.png	C:/My%20Web%20Sites/new-amityonline/amityonline.com/DesktopLib/images/favicon.png	(from https://universitiesadmission.in/onlineamity/)
12:36:07	155845/155845	---M--	200	added ('OK')	text/css	etag:%2260d22b20-260c5%22	https://universitiesadmission.in/onlineamity/css/bootstrap.min.css	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/css/bootstrap.min.css	(from https://universitiesadmission.in/onlineamity/)
12:36:07	3351/3351	---M--	200	added ('OK')	text/css	etag:%225ad9e982-d17%22	https://universitiesadmission.in/onlineamity/css/owl.carousel.min.css	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/css/owl.carousel.min.css	(from https://universitiesadmission.in/onlineamity/)
12:36:07	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-56a47934be480-gzip%22	https://universitiesadmission.in/onlineamity/css/owl.theme.default.min.css	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/css/owl.theme.default.min.css	(from https://universitiesadmission.in/onlineamity/)
12:36:08	13167/13167	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2009%20Sep%202024%2007:06:08%20GMT	https://kit.fontawesome.com/21c10b9af1.js	C:/My%20Web%20Sites/new-amityonline/kit.fontawesome.com/21c10b9af1.js	(from https://universitiesadmission.in/onlineamity/)
12:36:08	7562/7562	---M--	200	added ('OK')	text/css	etag:%2265a0cb04-1d8a%22	https://universitiesadmission.in/onlineamity/css/style.css	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/css/style.css	(from https://universitiesadmission.in/onlineamity/)
12:36:08	3470/3470	---M--	200	added ('OK')	text/css	etag:%2266bc3fe6-d8e%22	https://universitiesadmission.in/onlineamity/css/responsive.css	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/css/responsive.css	(from https://universitiesadmission.in/onlineamity/)
12:36:08	230670/230670	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2009%20Sep%202024%2007:06:08%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/new-amityonline/connect.facebook.net/en_US/fbevents.js	(from https://universitiesadmission.in/onlineamity/)
12:36:08	5009/5009	---M--	200	added ('OK')	image/png	etag:%2265fbc3cf-1391%22	https://universitiesadmission.in/onlineamity/images/logo.PNG	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/logo.png	(from https://universitiesadmission.in/onlineamity/)
12:36:09	268326/268326	---M--	200	added ('OK')	image/jpeg	etag:%2262fb73fd-41826%22	https://universitiesadmission.in/onlineamity/images/Frontbanner.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Frontbanner.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:09	2636/2636	---M--	200	added ('OK')	image/svg+xml	etag:%2262d65eed-a4c%22	https://universitiesadmission.in/onlineamity/images/certified-icon.svg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/certified-icon.svg	(from https://universitiesadmission.in/onlineamity/)
12:36:09	10813/10813	---M--	200	added ('OK')	image/png	etag:%2262970b89-2a3d%22	https://universitiesadmission.in/onlineamity/images/approval1.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval1.png	(from https://universitiesadmission.in/onlineamity/)
12:36:09	16120/16120	---M--	200	added ('OK')	image/png	etag:%2262970b8a-3ef8%22	https://universitiesadmission.in/onlineamity/images/approval2.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval2.png	(from https://universitiesadmission.in/onlineamity/)
12:36:09	8331/8331	---M--	200	added ('OK')	image/png	etag:%2262970b8a-208b%22	https://universitiesadmission.in/onlineamity/images/approval3.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval3.png	(from https://universitiesadmission.in/onlineamity/)
12:36:10	7517/7517	---M--	200	added ('OK')	image/png	etag:%2262970b89-1d5d%22	https://universitiesadmission.in/onlineamity/images/approval4.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval4.png	(from https://universitiesadmission.in/onlineamity/)
12:36:10	42603/42603	---M--	200	added ('OK')	image/png	etag:%2262970b89-a66b%22	https://universitiesadmission.in/onlineamity/images/approval5.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval5.png	(from https://universitiesadmission.in/onlineamity/)
12:36:10	7401/7401	---M--	200	added ('OK')	image/png	etag:%2262970b8a-1ce9%22	https://universitiesadmission.in/onlineamity/images/approval6.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval6.png	(from https://universitiesadmission.in/onlineamity/)
12:36:10	7307/7307	---M--	200	added ('OK')	image/png	etag:%2262970b8b-1c8b%22	https://universitiesadmission.in/onlineamity/images/approval7.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval7.png	(from https://universitiesadmission.in/onlineamity/)
12:36:11	7773/7773	---M--	200	added ('OK')	image/png	etag:%2262970b89-1e5d%22	https://universitiesadmission.in/onlineamity/images/approval8.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/approval8.png	(from https://universitiesadmission.in/onlineamity/)
12:36:11	5009/5009	---M--	200	added ('OK')	image/jpg	date:Fri,%2003%20Jul%202020%2016:10:22%20GMT	https://amityonline.com/images/logo.png	C:/My%20Web%20Sites/new-amityonline/amityonline.com/images/logo.png	(from https://universitiesadmission.in/onlineamity/)
12:36:11	769/769	---M--	200	added ('OK')	image/png	etag:%22301-5e05d43c33440%22	https://universitiesadmission.in/onlineamity/images/Holistic.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Holistic.png	(from https://universitiesadmission.in/onlineamity/)
12:36:11	603/603	---M--	200	added ('OK')	image/png	etag:%2225b-5e05d43c33440%22	https://universitiesadmission.in/onlineamity/images/Academic.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Academic.png	(from https://universitiesadmission.in/onlineamity/)
12:36:11	1011/1011	---M--	200	added ('OK')	image/png	etag:%223f3-5e05d43c33440%22	https://universitiesadmission.in/onlineamity/images/Build.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Build.png	(from https://universitiesadmission.in/onlineamity/)
12:36:12	179358/179358	---M--	200	added ('OK')	image/jpeg	etag:%2262fce49c-2bc9e%22	https://universitiesadmission.in/onlineamity/images/Certificate.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Certificate.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:12	15283/15283	---M--	200	added ('OK')	image/jpeg	etag:%2262970b89-3bb3%22	https://universitiesadmission.in/onlineamity/images/OnlineMBA.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/OnlineMBA.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:12	12918/12918	---M--	200	added ('OK')	image/jpeg	etag:%2262becbfc-3276%22	https://universitiesadmission.in/onlineamity/images/OnlineMCom.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/OnlineMCom.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:12	12314/12314	---M--	200	added ('OK')	image/jpeg	etag:%2262becbfc-301a%22	https://universitiesadmission.in/onlineamity/images/OnlineMCA.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/OnlineMCA.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:13	14010/14010	---M--	200	added ('OK')	image/jpeg	etag:%2262becbfb-36ba%22	https://universitiesadmission.in/onlineamity/images/OnlineMA.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/OnlineMA.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:13	13376/13376	---M--	200	added ('OK')	image/jpeg	etag:%2262becbfa-3440%22	https://universitiesadmission.in/onlineamity/images/OnlineBBA.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/OnlineBBA.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:13	10484/10484	---M--	200	added ('OK')	image/jpeg	etag:%2262becbfb-28f4%22	https://universitiesadmission.in/onlineamity/images/OnlineBCA.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/OnlineBCA.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:13	93141/93141	---M--	200	added ('OK')	image/jpeg	etag:%2262fb73fd-16bd5%22	https://universitiesadmission.in/onlineamity/images/BA.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/BA.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:13	2977/2977	---M--	200	added ('OK')	image/png	etag:%2262fb73fb-ba1%22	https://universitiesadmission.in/onlineamity/images/Artboard5.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard5.png	(from https://universitiesadmission.in/onlineamity/)
12:36:14	5601/5601	---M--	200	added ('OK')	image/png	etag:%2262fb73fb-15e1%22	https://universitiesadmission.in/onlineamity/images/Artboard7.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard7.png	(from https://universitiesadmission.in/onlineamity/)
12:36:14	4303/4303	---M--	200	added ('OK')	image/png	etag:%2262fb73fb-10cf%22	https://universitiesadmission.in/onlineamity/images/Artboard8.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard8.png	(from https://universitiesadmission.in/onlineamity/)
12:36:14	3012/3012	---M--	200	added ('OK')	image/png	etag:%2262fb73fc-bc4%22	https://universitiesadmission.in/onlineamity/images/Artboard9.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard9.png	(from https://universitiesadmission.in/onlineamity/)
12:36:14	4182/4182	---M--	200	added ('OK')	image/png	etag:%2262fb73fc-1056%22	https://universitiesadmission.in/onlineamity/images/Artboard10.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard10.png	(from https://universitiesadmission.in/onlineamity/)
12:36:15	4403/4403	---M--	200	added ('OK')	image/png	etag:%2262fb73fc-1133%22	https://universitiesadmission.in/onlineamity/images/Artboard11.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard11.png	(from https://universitiesadmission.in/onlineamity/)
12:36:15	3997/3997	---M--	200	added ('OK')	image/png	etag:%2262fb73fc-f9d%22	https://universitiesadmission.in/onlineamity/images/Artboard12.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard12.png	(from https://universitiesadmission.in/onlineamity/)
12:36:15	3270/3270	---M--	200	added ('OK')	image/png	etag:%2262fb73fc-cc6%22	https://universitiesadmission.in/onlineamity/images/Artboard13.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard13.png	(from https://universitiesadmission.in/onlineamity/)
12:36:15	4561/4561	---M--	200	added ('OK')	image/png	etag:%2262fb73fc-11d1%22	https://universitiesadmission.in/onlineamity/images/Artboard14.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard14.png	(from https://universitiesadmission.in/onlineamity/)
12:36:16	5163/5163	---M--	200	added ('OK')	image/png	etag:%2262fb73fd-142b%22	https://universitiesadmission.in/onlineamity/images/Artboard15.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard15.png	(from https://universitiesadmission.in/onlineamity/)
12:36:16	7497/7497	---M--	200	added ('OK')	image/png	etag:%2262fb73fd-1d49%22	https://universitiesadmission.in/onlineamity/images/Artboard16.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard16.png	(from https://universitiesadmission.in/onlineamity/)
12:36:16	6175/6175	---M--	200	added ('OK')	image/jpeg	etag:%2262fb73fd-181f%22	https://universitiesadmission.in/onlineamity/images/Artboard17.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/Artboard17.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:16	156506/156506	---M--	200	added ('OK')	image/jpeg	etag:%2262fb73fe-2635a%22	https://universitiesadmission.in/onlineamity/images/popup.jpg	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/images/popup.jpg	(from https://universitiesadmission.in/onlineamity/)
12:36:17	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:%22603e8adc-15d9d%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	C:/My%20Web%20Sites/new-amityonline/cdnjs.cloudflare.com/ajax/libs/jquery/3.6.0/jquery.min.js	(from https://universitiesadmission.in/onlineamity/)
12:36:17	44342/44342	---M--	200	added ('OK')	application/javascript	etag:%225ad9e982-ad36%22	https://universitiesadmission.in/onlineamity/js/owl.carousel.min.js	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/js/owl.carousel.min.js	(from https://universitiesadmission.in/onlineamity/)
12:36:17	78743/78743	---M--	200	added ('OK')	application/javascript	etag:%2260d22b20-13397%22	https://universitiesadmission.in/onlineamity/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/js/bootstrap.bundle.min.js	(from https://universitiesadmission.in/onlineamity/)
12:36:17	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/onlineamity/css/owl.video.play.png	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/css/owl.video.play.png	(from https://universitiesadmission.in/onlineamity/css/owl.carousel.min.css)
12:36:18	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/onlineamity/a	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/a	(from https://connect.facebook.net/en_US/fbevents.js)
12:36:18	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/onlineamity/POST	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/POST	(from https://connect.facebook.net/en_US/fbevents.js)
12:36:18	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/onlineamity/b.resolvedLink	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/b.resolvedLink	(from https://connect.facebook.net/en_US/fbevents.js)
12:36:18	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/signals/iwl.js	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
12:36:19	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-5e564c2356b96%22	https://universitiesadmission.in/onlineamity/schema.org/	C:/My%20Web%20Sites/new-amityonline/universitiesadmission.in/onlineamity/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
