date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:12	349504/349504	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Sep%202024%2012:30:12%20GMT	https://distancemba.co.in/online-mba/	C:/My%20Web%20Sites/new-online-all/distancemba.co.in/online-mba/index.html	(from )
18:00:13	78/78	---MC-	200	added ('OK')	text/plain	date:Tue,%2003%20Sep%202024%2012:30:12%20GMT	https://distancemba.co.in/robots.txt		(from )
18:00:13	77843/77843	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202024%2012:30:12%20GMT	https://distancemba.co.in/online-mba/images/lpfavfav.png	C:/My%20Web%20Sites/new-online-all/distancemba.co.in/online-mba/images/lpfavfav.png	(from https://distancemba.co.in/online-mba/)
18:00:13	121200/121200	---M--	200	added ('OK')	text/css	etag:%222c61dae-1d970-5f3bae19a3680%22	https://mbaonlinecourse.com/css/bootstrap.min.css	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/css/bootstrap.min.css	(from https://distancemba.co.in/online-mba/)
18:00:13	31000/31000	---M--	200	added ('OK')	text/css	etag:%222c61db2-7918-5f3bae19a3680%22	https://mbaonlinecourse.com/css/font-awesome.min.css	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/css/font-awesome.min.css	(from https://distancemba.co.in/online-mba/)
18:00:14	3632/3632	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-e30%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.0.0-beta.2.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/new-online-all/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.0.0-beta.2.4/assets/owl.carousel.min.css	(from https://distancemba.co.in/online-mba/)
18:00:14	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%22816af0eddd3b4822c2756227c7e7b7ee%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20Web%20Sites/new-online-all/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://distancemba.co.in/online-mba/)
18:00:15	175739/175739	---M--	200	added ('OK')	text/css	etag:%222c61daf-2ae7b-61b3dd40f6e40%22	https://mbaonlinecourse.com/css/style_blue.css	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/css/style_blue.css	(from https://distancemba.co.in/online-mba/)
18:00:15	15750/15750	---M-Z	200	added ('OK')	application/javascript	etag:%22b87dabfe1e9da1:0%22	https://web-in21.mxradon.com/t/Tracker.js	C:/My%20Web%20Sites/new-online-all/web-in21.mxradon.com/t/Tracker.js	(from https://distancemba.co.in/online-mba/)
18:00:15	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2003%20Sep%202024%2012:30:15%20GMT	https://mbaonlinecourse.com/images/upload-icon.jpg	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/images/upload-icon.jpg	(from https://distancemba.co.in/online-mba/)
18:00:15	10587/10587	---M--	200	added ('OK')	image/png	etag:%222c224f7-295b-61bef2afcd7ad%22	https://mbaonlinecourse.com/images/main%20site%20logo.png	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/images/main%20site%20logo.png	(from https://distancemba.co.in/online-mba/)
18:00:16	11378/11378	---M--	200	added ('OK')	image/png	etag:%222c61ef2-2c72-61bb411070580%22	https://mbaonlinecourse.com/images/logosuni/Amity.png	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/images/logosuni/Amity.png	(from https://distancemba.co.in/online-mba/)
18:00:16	12451/12451	---M--	200	added ('OK')	image/png	etag:%222c61ef3-30a3-61bb4111647c0%22	https://mbaonlinecourse.com/images/logosuni/Symbiosis.png	C:/My%20Web%20Sites/new-online-all/mbaonlinecourse.com/images/logosuni/Symbiosis.png	(from https://distancemba.co.in/online-mba/)
