date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:22	159/159	---M--	200	added ('OK')	text/plain	etag:%2266a4c0d6-9f%22	https://shardaonline.ac.in/robots.txt		(from )
21:58:22	3213/3213	---M-Z	200	added ('OK')	text/html	etag:%2266a4c0d5-571%22	https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/index.html	(from )
21:58:22	229083/229083	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2029%20Jul%202024%2004:58:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/shardhaonline/connect.facebook.net/en_US/fbevents.js	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:23	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2029%20Jul%202024%2004:58:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/shardhaonline/www.googletagmanager.com/gtm.15445.delayed	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:23	401629/401629	---M-Z	200	added ('OK')	application/javascript	etag:%2266a4c0d6-1fc66%22	https://shardaonline.ac.in/js/chunk-vendors.f485061a.js	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/js/chunk-vendors.f485061a.js	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:23	875861/875861	---M-Z	200	added ('OK')	application/javascript	etag:%2266a4c0d6-6794b%22	https://shardaonline.ac.in/js/app.27884768.js	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/js/app.27884768.js	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:24	66951/66951	---M-Z	200	added ('OK')	text/css	etag:%2266a4c0d5-3179%22	https://shardaonline.ac.in/css/app.c6f9f3da.css	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/css/app.c6f9f3da.css	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:24	2389/2389	---MCZ	200	added ('OK')	image/png	etag:W/%2266a4c0d5-955%22	https://shardaonline.ac.in/img/icons/favicon-32x32.png	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/img/icons/favicon-32x32.png	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:24	780/780	---MCZ	200	added ('OK')	image/png	etag:W/%2266a4c0d5-30c%22	https://shardaonline.ac.in/img/icons/favicon-16x16.png	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/img/icons/favicon-16x16.png	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:24	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jul%202024%2004:58:23%20GMT	https://shardaonline.ac.in/img/icons/apple-touch-icon-152x152.png	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/img/icons/apple-touch-icon-152x152.png	(from https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/)
21:58:25	3213/3213	---M-Z	200	added ('OK')	text/html	etag:%2266a4c0d5-571%22	https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/a	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/a.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:58:25	3213/3213	---M-Z	200	added ('OK')	text/html	etag:%2266a4c0d5-571%22	https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/POST	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/POST.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:58:25	3213/3213	---M-Z	200	added ('OK')	text/html	etag:%2266a4c0d5-571%22	https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/b.resolvedLink	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/b.html	(from https://connect.facebook.net/en_US/fbevents.js)
21:58:26	162/162	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Jul%202024%2004:58:24%20GMT	https://shardaonline.ac.in/signals/iwl.js	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/signals/iwl.js	(from https://connect.facebook.net/en_US/fbevents.js)
21:58:26	3213/3213	---M-Z	200	added ('OK')	text/html	etag:%2266a4c0d5-571%22	https://shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/schema.org/	C:/My%20Web%20Sites/shardhaonline/shardaonline.ac.in/lp/online-degree-program-for-ug-and-pg/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
